  size (B)          time (µs)        rate (MB/s)
         8               1.07               7.47
        16               0.94              17.04
        32               0.92              34.90
        56               0.83              67.57
        88               0.76             115.88
       136               0.77             177.73
       208               0.78             267.03
       320               0.79             406.37
       488               0.85             571.70
       736               0.95             774.05
      1112               1.15             971.04
      1672               1.24            1349.53
      2512               1.46            1723.61
      3776               1.76            2148.08
      5672               2.54            2236.19
      8512               3.16            2693.47
     12776               3.86            3309.85
     19168               4.76            4026.87
     28760               6.30            4564.93
     43144               8.29            5204.46
     64720              11.25            5750.56
     97088              16.10            6030.16
    145640              23.13            6297.83
    218464              33.94            6436.76
    327704              50.22            6525.30
    491560              73.83            6658.01
    737344             108.96            6767.13
   1106024             161.96            6828.79
   1659040             241.37            6873.29
   2488568             360.24            6908.07
   3732856             539.26            6922.17
   5599288             690.28            8111.67
   8398936            1011.81            8300.91
  12598408            1967.10            6404.54
