  size (B)          time (µs)        rate (MB/s)
         8               2.05               3.91
        16               2.00               7.99
        32               2.01              15.90
        56               2.05              27.31
        88               2.10              41.92
       136               2.67              50.86
       208               2.78              74.70
       320               2.83             113.21
       488               2.90             168.51
       736               2.94             250.77
      1112               3.11             358.11
      1672               3.38             494.84
      2512               3.76             668.09
      3776               4.01             941.16
      5672               4.46            1271.21
      8512               5.23            1626.14
     12776               9.23            1384.13
     19168               9.28            2065.42
     28760              11.43            2516.23
     43144              13.75            3137.84
     64720              17.02            3802.69
     97088              21.97            4419.30
    145640              29.88            4874.97
    218464              41.69            5240.82
    327704              59.52            5505.34
    491560              93.92            5233.54
    737344             125.40            5879.94
   1106024             184.63            5990.64
   1659040             273.66            6062.51
   2488568             406.81            6117.20
   3732856             606.69            6152.86
   5599288             906.91            6174.03
   8398936            1389.19            6045.90
  12598408            2178.73            5782.45
