  size (B)          time (µs)        rate (MB/s)
         8               1.25               6.40
        16               1.17              13.62
        32               1.15              27.87
        56               1.16              48.34
        88               1.14              77.00
       136               1.17             116.05
       208               1.18             175.98
       320               1.27             252.18
       488               1.38             352.88
       736               1.49             495.32
      1112               1.84             604.91
      1672               2.37             704.47
      2512               2.44            1030.06
      3776               2.71            1392.82
      5672               4.08            1388.78
      8512               5.06            1682.07
     12776               6.24            2047.63
     19168               8.57            2237.90
     28760              11.77            2442.61
     43144              16.80            2568.25
     64720              22.64            2859.23
     97088              33.35            2910.77
    145640              48.32            3014.05
    218464              72.27            3022.91
    327704             107.20            3056.80
    491560             157.79            3115.18
    737344             231.04            3191.47
   1106024             333.61            3315.32
   1659040             500.96            3311.72
   2488568             769.75            3232.94
   3732856            1113.79            3351.50
   5599288            1678.31            3336.27
   8398936            2636.21            3185.98
  12598408            3746.46            3362.75
